data_item,value,period,category,unit
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Item,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Gross value of production:,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Milk sold,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Cattle,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Other income 2/,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","       Total, gross value of production",annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",Operating costs:,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",   Feed--,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",      Purchased feed,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",      Homegrown harvested feed,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",      Grazed feed,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","         Total, feed costs",annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",  Other--,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",     Veterinary and medicine,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",     Bedding and litter,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",     Marketing,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/",     Custom services,annual,cop_state,
"milk_production_costs_and_returns_per_hundredweight_(cwt)_sold,_by_state,_2005_1/","     Fuel, lube, and electricity",annual,cop_state,
