commodity,category,item,units,size,region,country,year,value,survey_base_year,period,unit
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,U.S. total,United States,2016,16.83,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,U.S. total,United States,2017,18.25,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,U.S. total,United States,2018,16.82,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,U.S. total,United States,2019,19.26,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,U.S. total,United States,2020,18.87,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,California,United States,2016,16.0,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,California,United States,2017,17.57,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,California,United States,2018,16.81,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,California,United States,2019,19.39,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,California,United States,2020,19.23,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Illinois,United States,2016,16.89,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Illinois,United States,2017,18.58,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Illinois,United States,2018,16.77,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Illinois,United States,2019,19.13,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Illinois,United States,2020,18.31,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Indiana,United States,2016,17.04,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Indiana,United States,2017,18.64,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Indiana,United States,2018,16.6,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Indiana,United States,2019,19.18,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Indiana,United States,2020,18.35,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Iowa,United States,2016,16.52,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Iowa,United States,2017,18.02,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Iowa,United States,2018,16.46,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Iowa,United States,2019,19.29,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Iowa,United States,2020,19.46,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Kentucky,United States,2016,16.8,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Kentucky,United States,2017,17.82,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Kentucky,United States,2018,17.16,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Kentucky,United States,2019,19.12,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Kentucky,United States,2020,18.26,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Maine,United States,2016,21.32,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Maine,United States,2017,21.4,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Maine,United States,2018,19.63,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Maine,United States,2019,22.08,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Maine,United States,2020,22.24,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Michigan,United States,2016,15.99,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Michigan,United States,2017,17.36,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Michigan,United States,2018,15.84,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Michigan,United States,2019,18.37,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Michigan,United States,2020,17.35,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Minnesota,United States,2016,17.19,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Minnesota,United States,2017,18.2,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Minnesota,United States,2018,16.87,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Minnesota,United States,2019,19.75,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Minnesota,United States,2020,20.47,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Missouri,United States,2016,17.09,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Missouri,United States,2017,18.29,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Missouri,United States,2018,16.7,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Missouri,United States,2019,19.45,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Missouri,United States,2020,18.1,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,New York,United States,2016,17.74,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,New York,United States,2017,18.98,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,New York,United States,2018,17.43,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,New York,United States,2019,19.71,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,New York,United States,2020,18.5,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Ohio,United States,2016,16.77,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Ohio,United States,2017,18.4,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Ohio,United States,2018,16.37,Base survey of 2016,annual,dollars per hundredweight sold
Milk,Gross value of production,Milk sold,dollars per hundredweight sold,No specific size,Ohio,United States,2019,18.71,Base survey of 2016,annual,dollars per hundredweight sold
