year,category,data_item,value,units,period,unit
1980,January 1 inventory,Milk cows and heifers that have calved,10758.2,Thousand head,annual,Thousand head
1980,January 1 inventory,"Replacement heifers, 500+ pounds",4158.5,Thousand head,annual,Thousand head
1980,January 1 inventory,Replacements per 100 cows,38.7,Head,annual,Head
1980,Production indicators,Milk production,128406.0,Million pounds,annual,Million pounds
1980,Production indicators,Milk per cow,11891.0,Pounds,annual,Pounds
1980,Production indicators,Average number of milk cows in the United States,10799.0,Thousand,annual,Thousand
1980,Milk and feed price indicators,Average price paid for milk,13.0,Dollar per hundredweight,annual,Dollar per hundredweight
1980,Milk and feed price indicators,Milk-feed ratio,2.72,Number,annual,Number
1980,Milk and feed price indicators,Dairy feed value,4.84,Dollar per hundredweight,annual,Dollar per hundredweight
1980,Dairy cow indicators,Dairy cow prices,1195.0,Dollars per head,annual,Dollars per head
1980,Dairy cow indicators,Milk volume required to buy a cow,9192.0,Pounds,annual,Pounds
1980,Other indicators,Alfalfa hay price received by farmers,72.0,Dollars per ton,annual,Dollars per ton
1980,Other indicators,Slaughter cow price,45.73,Dollar per hundredweight,annual,Dollar per hundredweight
1981,January 1 inventory,Milk cows and heifers that have calved,10849.0,Thousand head,annual,Thousand head
1981,January 1 inventory,"Replacement heifers, 500+ pounds",4341.6,Thousand head,annual,Thousand head
1981,January 1 inventory,Replacements per 100 cows,40.0,Head,annual,Head
1981,Production indicators,Milk production,132770.0,Million pounds,annual,Million pounds
1981,Production indicators,Milk per cow,12183.0,Pounds,annual,Pounds
1981,Production indicators,Average number of milk cows in the United States,10898.0,Thousand,annual,Thousand
1981,Milk and feed price indicators,Average price paid for milk,13.8,Dollar per hundredweight,annual,Dollar per hundredweight
1981,Milk and feed price indicators,Milk-feed ratio,2.76,Number,annual,Number
1981,Milk and feed price indicators,Dairy feed value,5.04,Dollar per hundredweight,annual,Dollar per hundredweight
1981,Dairy cow indicators,Dairy cow prices,1202.5,Dollars per head,annual,Dollars per head
1981,Dairy cow indicators,Milk volume required to buy a cow,8714.0,Pounds,annual,Pounds
1981,Other indicators,Alfalfa hay price received by farmers,70.9,Dollars per ton,annual,Dollars per ton
1981,Other indicators,Slaughter cow price,41.93,Dollar per hundredweight,annual,Dollar per hundredweight
1982,January 1 inventory,Milk cows and heifers that have calved,10985.9,Thousand head,annual,Thousand head
1982,January 1 inventory,"Replacement heifers, 500+ pounds",4546.7,Thousand head,annual,Thousand head
1982,January 1 inventory,Replacements per 100 cows,41.4,Head,annual,Head
1982,Production indicators,Milk production,135505.0,Million pounds,annual,Million pounds
1982,Production indicators,Milk per cow,12306.0,Pounds,annual,Pounds
1982,Production indicators,Average number of milk cows in the United States,11011.0,Thousand,annual,Thousand
1982,Milk and feed price indicators,Average price paid for milk,13.6,Dollar per hundredweight,annual,Dollar per hundredweight
1982,Milk and feed price indicators,Milk-feed ratio,3.09,Number,annual,Number
1982,Milk and feed price indicators,Dairy feed value,4.42,Dollar per hundredweight,annual,Dollar per hundredweight
1982,Dairy cow indicators,Dairy cow prices,1112.5,Dollars per head,annual,Dollars per head
1982,Dairy cow indicators,Milk volume required to buy a cow,8180.0,Pounds,annual,Pounds
1982,Other indicators,Alfalfa hay price received by farmers,72.73,Dollars per ton,annual,Dollars per ton
1982,Other indicators,Slaughter cow price,39.96,Dollar per hundredweight,annual,Dollar per hundredweight
1983,January 1 inventory,Milk cows and heifers that have calved,11046.8,Thousand head,annual,Thousand head
1983,January 1 inventory,"Replacement heifers, 500+ pounds",4544.8,Thousand head,annual,Thousand head
1983,January 1 inventory,Replacements per 100 cows,41.1,Head,annual,Head
1983,Production indicators,Milk production,139588.0,Million pounds,annual,Million pounds
1983,Production indicators,Milk per cow,12622.0,Pounds,annual,Pounds
1983,Production indicators,Average number of milk cows in the United States,11059.0,Thousand,annual,Thousand
1983,Milk and feed price indicators,Average price paid for milk,13.6,Dollar per hundredweight,annual,Dollar per hundredweight
1983,Milk and feed price indicators,Milk-feed ratio,2.61,Number,annual,Number
1983,Milk and feed price indicators,Dairy feed value,5.24,Dollar per hundredweight,annual,Dollar per hundredweight
1983,Dairy cow indicators,Dairy cow prices,1032.5,Dollars per head,annual,Dollars per head
1983,Dairy cow indicators,Milk volume required to buy a cow,7592.0,Pounds,annual,Pounds
1983,Other indicators,Alfalfa hay price received by farmers,78.7,Dollars per ton,annual,Dollars per ton
1983,Other indicators,Slaughter cow price,39.35,Dollar per hundredweight,annual,Dollar per hundredweight
1984,January 1 inventory,Milk cows and heifers that have calved,11058.7,Thousand head,annual,Thousand head
1984,January 1 inventory,"Replacement heifers, 500+ pounds",4532.7,Thousand head,annual,Thousand head
1984,January 1 inventory,Replacements per 100 cows,41.0,Head,annual,Head
1984,Production indicators,Milk production,135351.0,Million pounds,annual,Million pounds
1984,Production indicators,Milk per cow,12541.0,Pounds,annual,Pounds
1984,Production indicators,Average number of milk cows in the United States,10793.0,Thousand,annual,Thousand
1984,Milk and feed price indicators,Average price paid for milk,13.5,Dollar per hundredweight,annual,Dollar per hundredweight
1984,Milk and feed price indicators,Milk-feed ratio,2.54,Number,annual,Number
1984,Milk and feed price indicators,Dairy feed value,5.34,Dollar per hundredweight,annual,Dollar per hundredweight
1984,Dairy cow indicators,Dairy cow prices,895.0,Dollars per head,annual,Dollars per head
1984,Dairy cow indicators,Milk volume required to buy a cow,6630.0,Pounds,annual,Pounds
1984,Other indicators,Alfalfa hay price received by farmers,79.48,Dollars per ton,annual,Dollars per ton
1984,Other indicators,Slaughter cow price,39.81,Dollar per hundredweight,annual,Dollar per hundredweight
1985,January 1 inventory,Milk cows and heifers that have calved,10776.9,Thousand head,annual,Thousand head
1985,January 1 inventory,"Replacement heifers, 500+ pounds",4770.0,Thousand head,annual,Thousand head
1985,January 1 inventory,Replacements per 100 cows,44.3,Head,annual,Head
1985,Production indicators,Milk production,143012.0,Million pounds,annual,Million pounds
1985,Production indicators,Milk per cow,13024.0,Pounds,annual,Pounds
1985,Production indicators,Average number of milk cows in the United States,10981.0,Thousand,annual,Thousand
1985,Milk and feed price indicators,Average price paid for milk,12.7,Dollar per hundredweight,annual,Dollar per hundredweight
1985,Milk and feed price indicators,Milk-feed ratio,2.84,Number,annual,Number
1985,Milk and feed price indicators,Dairy feed value,4.5,Dollar per hundredweight,annual,Dollar per hundredweight
1985,Dairy cow indicators,Dairy cow prices,861.25,Dollars per head,annual,Dollars per head
1985,Dairy cow indicators,Milk volume required to buy a cow,6781.0,Pounds,annual,Pounds
1985,Other indicators,Alfalfa hay price received by farmers,73.67,Dollars per ton,annual,Dollars per ton
1985,Other indicators,Slaughter cow price,38.31,Dollar per hundredweight,annual,Dollar per hundredweight
1986,January 1 inventory,Milk cows and heifers that have calved,11115.5,Thousand head,annual,Thousand head
1986,January 1 inventory,"Replacement heifers, 500+ pounds",4708.7,Thousand head,annual,Thousand head
1986,January 1 inventory,Replacements per 100 cows,42.4,Head,annual,Head
1986,Production indicators,Milk production,143124.0,Million pounds,annual,Million pounds
1986,Production indicators,Milk per cow,13285.0,Pounds,annual,Pounds
1986,Production indicators,Average number of milk cows in the United States,10773.0,Thousand,annual,Thousand
1986,Milk and feed price indicators,Average price paid for milk,12.5,Dollar per hundredweight,annual,Dollar per hundredweight
1986,Milk and feed price indicators,Milk-feed ratio,3.39,Number,annual,Number
1986,Milk and feed price indicators,Dairy feed value,3.77,Dollar per hundredweight,annual,Dollar per hundredweight
1986,Dairy cow indicators,Dairy cow prices,821.25,Dollars per head,annual,Dollars per head
1986,Dairy cow indicators,Milk volume required to buy a cow,6570.0,Pounds,annual,Pounds
1986,Other indicators,Alfalfa hay price received by farmers,64.64,Dollars per ton,annual,Dollars per ton
1986,Other indicators,Slaughter cow price,37.18,Dollar per hundredweight,annual,Dollar per hundredweight
1987,January 1 inventory,Milk cows and heifers that have calved,10466.4,Thousand head,annual,Thousand head
1987,January 1 inventory,"Replacement heifers, 500+ pounds",4304.9,Thousand head,annual,Thousand head
1987,January 1 inventory,Replacements per 100 cows,41.1,Head,annual,Head
1987,Production indicators,Milk production,142709.0,Million pounds,annual,Million pounds
1987,Production indicators,Milk per cow,13819.0,Pounds,annual,Pounds
1987,Production indicators,Average number of milk cows in the United States,10327.0,Thousand,annual,Thousand
1987,Milk and feed price indicators,Average price paid for milk,12.5,Dollar per hundredweight,annual,Dollar per hundredweight
1987,Milk and feed price indicators,Milk-feed ratio,3.64,Number,annual,Number
1987,Milk and feed price indicators,Dairy feed value,3.45,Dollar per hundredweight,annual,Dollar per hundredweight
1987,Dairy cow indicators,Dairy cow prices,917.5,Dollars per head,annual,Dollars per head
1987,Dairy cow indicators,Milk volume required to buy a cow,7340.0,Pounds,annual,Pounds
1987,Other indicators,Alfalfa hay price received by farmers,65.97,Dollars per ton,annual,Dollars per ton
1987,Other indicators,Slaughter cow price,44.8,Dollar per hundredweight,annual,Dollar per hundredweight
1988,January 1 inventory,Milk cows and heifers that have calved,10311.2,Thousand head,annual,Thousand head
1988,January 1 inventory,"Replacement heifers, 500+ pounds",4122.3,Thousand head,annual,Thousand head
1988,January 1 inventory,Replacements per 100 cows,40.0,Head,annual,Head
1988,Production indicators,Milk production,145034.0,Million pounds,annual,Million pounds
1988,Production indicators,Milk per cow,14185.0,Pounds,annual,Pounds
1988,Production indicators,Average number of milk cows in the United States,10224.0,Thousand,annual,Thousand
1988,Milk and feed price indicators,Average price paid for milk,12.2,Dollar per hundredweight,annual,Dollar per hundredweight
1988,Milk and feed price indicators,Milk-feed ratio,2.63,Number,annual,Number
1988,Milk and feed price indicators,Dairy feed value,4.72,Dollar per hundredweight,annual,Dollar per hundredweight
1988,Dairy cow indicators,Dairy cow prices,986.25,Dollars per head,annual,Dollars per head
1988,Dairy cow indicators,Milk volume required to buy a cow,8084.0,Pounds,annual,Pounds
1988,Other indicators,Alfalfa hay price received by farmers,82.51,Dollars per ton,annual,Dollars per ton
1988,Other indicators,Slaughter cow price,47.91,Dollar per hundredweight,annual,Dollar per hundredweight
1989,January 1 inventory,Milk cows and heifers that have calved,10137.5,Thousand head,annual,Thousand head
1989,January 1 inventory,"Replacement heifers, 500+ pounds",4116.7,Thousand head,annual,Thousand head
1989,January 1 inventory,Replacements per 100 cows,40.6,Head,annual,Head
1989,Production indicators,Milk production,143893.0,Million pounds,annual,Million pounds
1989,Production indicators,Milk per cow,14323.0,Pounds,annual,Pounds
1989,Production indicators,Average number of milk cows in the United States,10046.0,Thousand,annual,Thousand
1989,Milk and feed price indicators,Average price paid for milk,13.6,Dollar per hundredweight,annual,Dollar per hundredweight
1989,Milk and feed price indicators,Milk-feed ratio,2.7,Number,annual,Number
1989,Milk and feed price indicators,Dairy feed value,5.07,Dollar per hundredweight,annual,Dollar per hundredweight
1989,Dairy cow indicators,Dairy cow prices,1032.5,Dollars per head,annual,Dollars per head
1989,Dairy cow indicators,Milk volume required to buy a cow,7592.0,Pounds,annual,Pounds
1989,Other indicators,Alfalfa hay price received by farmers,95.98,Dollars per ton,annual,Dollars per ton
1989,Other indicators,Slaughter cow price,50.11,Dollar per hundredweight,annual,Dollar per hundredweight
1990,January 1 inventory,Milk cows and heifers that have calved,10014.8,Thousand head,annual,Thousand head
1990,January 1 inventory,"Replacement heifers, 500+ pounds",4170.6,Thousand head,annual,Thousand head
1990,January 1 inventory,Replacements per 100 cows,41.6,Head,annual,Head
1990,Production indicators,Milk production,147721.0,Million pounds,annual,Million pounds
1990,Production indicators,Milk per cow,14782.0,Pounds,annual,Pounds
1990,Production indicators,Average number of milk cows in the United States,9993.0,Thousand,annual,Thousand
1990,Milk and feed price indicators,Average price paid for milk,13.7,Dollar per hundredweight,annual,Dollar per hundredweight
1990,Milk and feed price indicators,Milk-feed ratio,2.82,Number,annual,Number
1990,Milk and feed price indicators,Dairy feed value,4.86,Dollar per hundredweight,annual,Dollar per hundredweight
1990,Dairy cow indicators,Dairy cow prices,1157.5,Dollars per head,annual,Dollars per head
1990,Dairy cow indicators,Milk volume required to buy a cow,8449.0,Pounds,annual,Pounds
1990,Other indicators,Alfalfa hay price received by farmers,92.56,Dollars per ton,annual,Dollars per ton
1990,Other indicators,Slaughter cow price,53.32,Dollar per hundredweight,annual,Dollar per hundredweight
1991,January 1 inventory,Milk cows and heifers that have calved,9965.6,Thousand head,annual,Thousand head
1991,January 1 inventory,"Replacement heifers, 500+ pounds",4093.4,Thousand head,annual,Thousand head
1991,January 1 inventory,Replacements per 100 cows,41.1,Head,annual,Head
1991,Production indicators,Milk production,147697.0,Million pounds,annual,Million pounds
1991,Production indicators,Milk per cow,15031.0,Pounds,annual,Pounds
1991,Production indicators,Average number of milk cows in the United States,9826.0,Thousand,annual,Thousand
1991,Milk and feed price indicators,Average price paid for milk,12.2,Dollar per hundredweight,annual,Dollar per hundredweight
1991,Milk and feed price indicators,Milk-feed ratio,2.74,Number,annual,Number
1991,Milk and feed price indicators,Dairy feed value,4.49,Dollar per hundredweight,annual,Dollar per hundredweight
1991,Dairy cow indicators,Dairy cow prices,1095.0,Dollars per head,annual,Dollars per head
1991,Dairy cow indicators,Milk volume required to buy a cow,8975.0,Pounds,annual,Pounds
1991,Other indicators,Alfalfa hay price received by farmers,78.96,Dollars per ton,annual,Dollars per ton
1991,Other indicators,Slaughter cow price,51.5,Dollar per hundredweight,annual,Dollar per hundredweight
1992,January 1 inventory,Milk cows and heifers that have calved,9728.2,Thousand head,annual,Thousand head
1992,January 1 inventory,"Replacement heifers, 500+ pounds",4131.4,Thousand head,annual,Thousand head
1992,January 1 inventory,Replacements per 100 cows,42.5,Head,annual,Head
1992,Production indicators,Milk production,150847.0,Million pounds,annual,Million pounds
1992,Production indicators,Milk per cow,15570.0,Pounds,annual,Pounds
1992,Production indicators,Average number of milk cows in the United States,9688.0,Thousand,annual,Thousand
1992,Milk and feed price indicators,Average price paid for milk,13.1,Dollar per hundredweight,annual,Dollar per hundredweight
1992,Milk and feed price indicators,Milk-feed ratio,3.01,Number,annual,Number
1992,Milk and feed price indicators,Dairy feed value,4.37,Dollar per hundredweight,annual,Dollar per hundredweight
1992,Dairy cow indicators,Dairy cow prices,1130.0,Dollars per head,annual,Dollars per head
1992,Dairy cow indicators,Milk volume required to buy a cow,8626.0,Pounds,annual,Pounds
1992,Other indicators,Alfalfa hay price received by farmers,75.51,Dollars per ton,annual,Dollars per ton
1992,Other indicators,Slaughter cow price,49.69,Dollar per hundredweight,annual,Dollar per hundredweight
1993,January 1 inventory,Milk cows and heifers that have calved,9658.1,Thousand head,annual,Thousand head
1993,January 1 inventory,"Replacement heifers, 500+ pounds",4176.2,Thousand head,annual,Thousand head
1993,January 1 inventory,Replacements per 100 cows,43.2,Head,annual,Head
1993,Production indicators,Milk production,150636.0,Million pounds,annual,Million pounds
1993,Production indicators,Milk per cow,15722.0,Pounds,annual,Pounds
1993,Production indicators,Average number of milk cows in the United States,9581.0,Thousand,annual,Thousand
