report_month,report_year,narrative,MarketingArea,order_no,report_title,slug_name,slug_id,office_name,office_code,office_city,office_state,market_location_name,market_location_city,market_location_state,market_type,market_type_category,published_date,year,period,data_item,value,category,unit
May,2012,,Appalachian (Charlotte),005,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,19.25,lmprs,
May,2012,,Arizona (Phoenix),131,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,18.20,lmprs,
May,2012,,Central (Kansas City),032,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,17.85,lmprs,
May,2012,,Florida (Tampa),006,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,21.25,lmprs,
May,2012,,Mideast (Cleveland),033,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,17.85,lmprs,
May,2012,,Northeast (Boston),001,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,19.10,lmprs,
May,2012,,Pacific Northwest (Seattle),124,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,17.75,lmprs,
May,2012,,Southeast (Atlanta),007,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,19.65,lmprs,
May,2012,,Southwest (Dallas),126,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,18.85,lmprs,
May,2012,,Upper Midwest (Chicago),030,Class Prices by Order,AMS_3355,3355,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,05/13/2019 14:00:08,2012,2012-MAY,ClassIWhole,17.65,lmprs,
