year,period,timeperiod_id,frequency,category,data_item,value,unit
2024,Annual,17,Annual,Consumer Price Indexes,All food,2.26,Year-over-year percent change
2024,Annual,17,Annual,Consumer Price Indexes,All products,2.952,Year-over-year percent change
2024,Annual,17,Annual,Consumer Price Indexes,Butter,3.621,Year-over-year percent change
2024,Annual,17,Annual,Consumer Price Indexes,Cheese,-1.652,Year-over-year percent change
2024,Annual,17,Annual,Consumer Price Indexes,Dairy products,-0.236,Year-over-year percent change
2024,Annual,17,Annual,Consumer Price Indexes,Fluid milk,-0.12,Year-over-year percent change
2024,Annual,17,Annual,Dairy product output,American cheese,5576.543,Million pounds
2024,Annual,17,Annual,Dairy product output,Butter,2235.592,Million pounds
2024,Annual,17,Annual,Dairy product output,Other-than-American cheese,8672.805,Million pounds
2024,Annual,17,Annual,Dairy product output,Dry skim milk products,2275.476,Million pounds
2024,Annual,17,Annual,Dairy product output,Frozen products,1206.605,Million gallons
2024,Annual,17,Annual,Domestic disappearance,American cheese,5464.856,Million pounds
2024,Annual,17,Annual,Domestic disappearance,Butter,2323.17,Million pounds
2024,Annual,17,Annual,Domestic disappearance,Other-than-American cheese,8085.685,Million pounds
2024,Annual,17,Annual,Domestic disappearance,Dry skim milk products,627.875,Million pounds
2024,Annual,17,Annual,Domestic disappearance,All products (milk equivalent milk-fat basis),222869.729,Million pounds
2024,Annual,17,Annual,Domestic disappearance,All products (milk equivalent skim-solids basis),183258.515,Million pounds
2024,Annual,17,Annual,Ending stocks,All products (milk equivalent milk-fat basis),13081.62,Million pounds
2024,Annual,17,Annual,Ending stocks,All products (milk equivalent skim-solids basis),9408.15,Million pounds
2024,Annual,17,Annual,Exports,All products (milk equivalent milk-fat basis),11843.986,Million pounds
2024,Annual,17,Annual,Exports,All products (milk equivalent skim-solids basis),48870.05,Million pounds
2024,Annual,17,Annual,Imports,All products (milk equivalent milk-fat basis),9125.042,Million pounds
2024,Annual,17,Annual,Imports,All products (milk equivalent skim-solids basis),6797.953,Million pounds
2024,Annual,17,Annual,Milk prices,All milk (at average milk-fat test),22.55,Dollars per hundredweight
2024,Annual,17,Annual,Milk prices,Class III (cheese milk) 3.5% milk fat,18.893,Dollars per hundredweight
2024,Annual,17,Annual,Milk prices,Class IV (butter-powder milk) 3.5% milk fat,20.747,Dollars per hundredweight
2024,Annual,17,Annual,Milk production,Production,225889.0,Million pounds
2024,Annual,17,Annual,Milk production,Milk cows,9345.0,Thousands
2024,Annual,17,Annual,Milk production,Milk per cow,24173.0,Pounds
2024,Annual,17,Annual,Oceania export prices,Skim milk powder,2701.0,Dollars per metric ton
2024,Annual,17,Annual,Oceania export prices,Butter,6746.0,Dollars per metric ton
2024,Annual,17,Annual,Wholesale dairy product prices,Butter,2.887,Dollars per pound
2024,Annual,17,Annual,Wholesale dairy product prices,"Cheddar cheese, 40-pound blocks",1.8247,Dollars per pound
2024,Annual,17,Annual,Wholesale dairy product prices,"Cheddar cheese, 500-pound barrels",1.8658,Dollars per pound
2024,Annual,17,Annual,Wholesale dairy product prices,Dry whey,0.4913,Dollars per pound
2024,Annual,17,Annual,Wholesale dairy product prices,Nonfat dry milk,1.242,Dollars per pound
2025,Annual,17,Annual,Consumer Price Indexes,All food,2.869,Year-over-year percent change
2025,Annual,17,Annual,Consumer Price Indexes,All products,2.69,Year-over-year percent change
2025,Annual,17,Annual,Consumer Price Indexes,Butter,0.093,Year-over-year percent change
2025,Annual,17,Annual,Consumer Price Indexes,Cheese,1.124,Year-over-year percent change
2025,Annual,17,Annual,Consumer Price Indexes,Dairy products,0.854,Year-over-year percent change
2025,Annual,17,Annual,Consumer Price Indexes,Fluid milk,1.825,Year-over-year percent change
2025,Annual,17,Annual,Dairy product output,American cheese,5797.254,Million pounds
2025,Annual,17,Annual,Dairy product output,Butter,2366.309,Million pounds
2025,Annual,17,Annual,Dairy product output,Other-than-American cheese,8861.025,Million pounds
2025,Annual,17,Annual,Dairy product output,Dry skim milk products,2158.561,Million pounds
2025,Annual,17,Annual,Dairy product output,Frozen products,1174.77,Million gallons
2025,Annual,17,Annual,Domestic disappearance,American cheese,5491.809,Million pounds
2025,Annual,17,Annual,Domestic disappearance,Butter,2306.751,Million pounds
2025,Annual,17,Annual,Domestic disappearance,Other-than-American cheese,8099.31,Million pounds
2025,Annual,17,Annual,Domestic disappearance,Dry skim milk products,667.692,Million pounds
2025,Annual,17,Annual,Domestic disappearance,All products (milk equivalent milk-fat basis),221723.044,Million pounds
2025,Annual,17,Annual,Domestic disappearance,All products (milk equivalent skim-solids basis),189569.335,Million pounds
2025,Annual,17,Annual,Ending stocks,All products (milk equivalent milk-fat basis),12642.898,Million pounds
2025,Annual,17,Annual,Ending stocks,All products (milk equivalent skim-solids basis),9210.87,Million pounds
2025,Annual,17,Annual,Exports,All products (milk equivalent milk-fat basis),16744.088,Million pounds
2025,Annual,17,Annual,Exports,All products (milk equivalent skim-solids basis),48174.742,Million pounds
2025,Annual,17,Annual,Imports,All products (milk equivalent milk-fat basis),7360.409,Million pounds
2025,Annual,17,Annual,Imports,All products (milk equivalent skim-solids basis),6878.796,Million pounds
2025,Annual,17,Annual,Milk prices,All milk (at average milk-fat test),21.175,Dollars per hundredweight
2025,Annual,17,Annual,Milk prices,Class III (cheese milk) 3.5% milk fat,18.009,Dollars per hundredweight
2025,Annual,17,Annual,Milk prices,Class IV (butter-powder milk) 3.5% milk fat,17.382,Dollars per hundredweight
2025,Annual,17,Annual,Milk production,Production,231658.0,Million pounds
2025,Annual,17,Annual,Milk production,Milk cows,9497.417,Thousands
2025,Annual,17,Annual,Milk production,Milk per cow,24392.0,Pounds
2025,Annual,17,Annual,Oceania export prices,Skim milk powder,2784.0,Dollars per metric ton
2025,Annual,17,Annual,Oceania export prices,Butter,7081.0,Dollars per metric ton
2025,Annual,17,Annual,Wholesale dairy product prices,Butter,2.2202,Dollars per pound
2025,Annual,17,Annual,Wholesale dairy product prices,"Cheddar cheese, 40-pound blocks",1.7871,Dollars per pound
2025,Annual,17,Annual,Wholesale dairy product prices,"Cheddar cheese, 500-pound barrels",1.8089,Dollars per pound
2025,Annual,17,Annual,Wholesale dairy product prices,Dry whey,0.5956,Dollars per pound
2025,Annual,17,Annual,Wholesale dairy product prices,Nonfat dry milk,1.2348,Dollars per pound
2025,April,4,Monthly,Consumer Price Indexes,All products,2.311,Year-over-year percent change
2025,April,4,Monthly,Consumer Price Indexes,Dairy products,1.599,Year-over-year percent change
2025,April,4,Monthly,Consumer Price Indexes,Butter,1.485,Year-over-year percent change
2025,April,4,Monthly,Consumer Price Indexes,Cheese,2.138,Year-over-year percent change
2025,April,4,Monthly,Consumer Price Indexes,All food,2.759,Year-over-year percent change
2025,April,4,Monthly,Consumer Price Indexes,Fluid milk,3.914,Year-over-year percent change
2025,April,4,Monthly,Dairy product output,American cheese,495.47,Million pounds
2025,April,4,Monthly,Dairy product output,Butter,214.433,Million pounds
2025,April,4,Monthly,Dairy product output,Other-than-American cheese,739.462,Million pounds
2025,April,4,Monthly,Dairy product output,Dry skim milk products,199.11,Million pounds
2025,April,4,Monthly,Dairy product output,Frozen products,105.175,Million gallons
2025,April,4,Monthly,Domestic disappearance,American cheese,463.223,Million pounds
2025,April,4,Monthly,Domestic disappearance,Butter,198.37,Million pounds
2025,April,4,Monthly,Domestic disappearance,Other-than-American cheese,682.798,Million pounds
2025,April,4,Monthly,Domestic disappearance,Dry skim milk products,78.308,Million pounds
2025,April,4,Monthly,Domestic disappearance,All products (milk equivalent milk-fat basis),18222.582,Million pounds
2025,April,4,Monthly,Domestic disappearance,All products (milk equivalent skim-solids basis),15994.145,Million pounds
2025,April,4,Monthly,Ending stocks,All products (milk equivalent milk-fat basis),16457.46,Million pounds
2025,April,4,Monthly,Ending stocks,All products (milk equivalent skim-solids basis),10626.72,Million pounds
2025,April,4,Monthly,Exports,All products (milk equivalent milk-fat basis),1311.684,Million pounds
2025,April,4,Monthly,Exports,All products (milk equivalent skim-solids basis),3774.151,Million pounds
2025,April,4,Monthly,Imports,All products (milk equivalent milk-fat basis),644.078,Million pounds
2025,April,4,Monthly,Imports,All products (milk equivalent skim-solids basis),617.798,Million pounds
2025,April,4,Monthly,Milk prices,All milk (at average milk-fat test),21.0,Dollars per hundredweight
2025,April,4,Monthly,Milk prices,Class III (cheese milk) 3.5% milk fat,17.48,Dollars per hundredweight
2025,April,4,Monthly,Milk prices,Class IV (butter-powder milk) 3.5% milk fat,17.92,Dollars per hundredweight
2025,April,4,Monthly,Milk production,Production,19432.0,Million pounds
2025,April,4,Monthly,Milk production,Milk cows,9455.0,Thousands
2025,April,4,Monthly,Milk production,Milk per cow,2055.0,Pounds
2025,April,4,Monthly,Oceania export prices,Skim milk powder,2959.0,Dollars per metric ton
