week_ending_date,created_date,report_year,report_month,narrative,class_2_price,class_2_butterfat_price,advanced_skim_milk_class_2_price,class_3_price,class_3_skim_milk_price,class_4_price,class_4_skim_milk_price,butter_monthly_avg_price,nfdm_monthly_avg_price,cheese_monthly_avg_price,cheese_monthly_40p_price,cheese_monthly_500p_price,whey_monthly_avg_price,report_title,slug_name,slug_id,office_name,office_code,office_city,office_state,market_location_name,market_location_city,market_location_state,market_type,market_type_category,published_date,year,period,data_item,value,category,unit
04/25/2026,04/29/2026,2026,Apr,,18.82,1.8762,12.70,16.82,10.65,20.22,14.17,1.7707,1.7788,1.6427,,,0.6443,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/29/2026 13:05:26,2026,2026-APR,butterfat,1.8692,lmprs,
03/28/2026,04/01/2026,2026,Mar,,17.34,2.0290,10.61,16.16,9.41,18.94,12.29,1.8969,1.5741,1.5607,,,0.6724,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/01/2026 13:05:21,2026,2026-MAR,butterfat,2.0220,lmprs,
02/28/2026,03/04/2026,2026,Feb,,15.34,1.7864,9.42,14.94,9.03,16.29,10.43,1.6966,1.3726,1.4338,,,0.6931,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,03/04/2026 12:54:48,2026,2026-FEB,butterfat,1.7794,lmprs,
01/31/2026,02/04/2026,2026,Jan,,13.92,1.4595,9.13,14.59,9.85,13.55,8.77,1.4266,1.1921,1.4003,,,0.6986,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,02/04/2026 13:08:03,2026,2026-JAN,butterfat,1.4525,lmprs,
12/27/2025,12/31/2025,2025,Dec,,14.41,1.5831,9.19,15.86,10.72,13.64,8.42,1.5287,1.1541,1.5271,,,0.6893,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,12/31/2025 13:05:26,2025,2025-DEC,butterfat,1.5761,lmprs,
11/29/2025,12/03/2025,2025,Nov,,14.54,1.7131,8.85,17.18,11.62,13.89,8.21,1.6360,1.1609,1.7419,,,0.6415,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,12/03/2025 13:02:43,2025,2025-NOV,butterfat,1.7061,lmprs,
11/01/2025,11/05/2025,2025,Oct,,16.02,1.8322,9.96,16.91,10.90,14.30,8.20,1.7344,1.1601,1.7384,,,0.5930,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,11/05/2025 13:05:19,2025,2025-OCT,butterfat,1.8252,lmprs,
09/27/2025,10/01/2025,2025,Sep,,17.39,2.1995,10.04,17.59,10.28,16.17,8.80,2.0377,1.2265,1.8066,,,0.5782,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,10/01/2025 13:05:44,2025,2025-SEP,butterfat,2.1925,lmprs,
08/30/2025,09/04/2025,2025,Aug,,19.18,2.7325,9.96,17.24,7.98,18.50,9.29,2.4778,1.2820,1.7529,,,0.5779,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,09/04/2025 13:05:39,2025,2025-AUG,butterfat,2.7255,lmprs,
07/26/2025,07/30/2025,2025,Jul,,19.31,2.8505,9.67,17.32,7.63,18.89,9.26,2.5753,1.2783,1.7634,,,0.5670,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,07/30/2025 13:05:25,2025,2025-JUL,butterfat,2.8435,lmprs,
06/28/2025,07/02/2025,2025,Jun,,18.43,2.7448,9.14,18.82,9.57,18.30,9.03,2.4880,1.2531,1.9322,,,0.5497,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,07/02/2025 13:05:29,2025,2025-JUN,butterfat,2.7378,lmprs,
05/31/2025,06/04/2025,2025,May,,18.72,2.6697,9.72,18.57,9.59,18.13,9.13,2.3703,1.1925,1.8404,1.8177,1.8284,0.5119,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,06/04/2025 13:05:20,2025,2025-MAY,butterfat,2.6627,lmprs,
04/26/2025,04/30/2025,2025,Apr,,19.22,2.6476,10.31,17.48,8.54,17.92,8.99,2.3520,1.1773,1.7361,1.7117,1.7244,0.4988,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/30/2025 13:04:13,2025,2025-APR,butterfat,2.6406,lmprs,
03/29/2025,04/02/2025,2025,Mar,,20.12,2.6312,11.31,18.62,9.78,18.21,9.35,2.3385,1.2176,1.8215,1.8420,1.7732,0.5532,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/02/2025 13:05:07,2025,2025-MAR,butterfat,2.6242,lmprs,
