week_ending_date,created_date,report_year,report_month,narrative,advanced_skim_milk_class_2_Price,butterfat_Price,nonfat_solids_Price,protein_Price,other_solids_Price,somatic_cell_adjustment_Rate,butter_monthly_avg_Price,nfdm_monthly_avg_Price,cheese_monthly_avg_Price,cheese_monthly_40p_Price,cheese_monthly_500p_Price,whey_monthly_avg_Price,report_title,slug_name,slug_id,office_name,office_code,office_city,office_state,market_location_name,market_location_city,market_location_state,market_type,market_type_category,published_date,year,period,data_item,value,category,unit
04/25/2026,04/29/2026,2026,Apr,,12.70,1.8692,1.5241,2.5190,0.3888,0.00082,1.7707,1.7788,1.6427,,,0.6443,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/29/2026 13:05:26,2026,2026-APR,class_2_Price,18.82,lmprs,
03/28/2026,04/01/2026,2026,Mar,,10.61,2.0220,1.3215,2.0905,0.4178,0.00078,1.8969,1.5741,1.5607,,,0.6724,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/01/2026 13:05:21,2026,2026-MAR,class_2_Price,17.34,lmprs,
02/28/2026,03/04/2026,2026,Feb,,9.42,1.7794,1.1220,1.9373,0.4391,0.00072,1.6966,1.3726,1.4338,,,0.6931,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,03/04/2026 12:54:48,2026,2026-FEB,class_2_Price,15.34,lmprs,
01/31/2026,02/04/2026,2026,Jan,,9.13,1.4525,0.9433,2.1768,0.4448,0.00070,1.4266,1.1921,1.4003,,,0.6986,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,02/04/2026 13:08:03,2026,2026-JAN,class_2_Price,13.92,lmprs,
12/27/2025,12/31/2025,2025,Dec,,9.19,1.5761,0.9057,2.4563,0.4352,0.00076,1.5287,1.1541,1.5271,,,0.6893,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,12/31/2025 13:05:26,2025,2025-DEC,class_2_Price,14.41,lmprs,
11/29/2025,12/03/2025,2025,Nov,,8.85,1.7061,0.9124,3.0143,0.3859,0.00087,1.6360,1.1609,1.7419,,,0.6415,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,12/03/2025 13:02:43,2025,2025-NOV,class_2_Price,14.54,lmprs,
11/01/2025,11/05/2025,2025,Oct,,9.96,1.8252,0.9116,2.8761,0.3360,0.00087,1.7344,1.1601,1.7384,,,0.5930,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,11/05/2025 13:05:19,2025,2025-OCT,class_2_Price,16.02,lmprs,
09/27/2025,10/01/2025,2025,Sep,,10.04,2.1925,0.9773,2.7062,0.3207,0.00090,2.0377,1.2265,1.8066,,,0.5782,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,10/01/2025 13:05:44,2025,2025-SEP,class_2_Price,17.39,lmprs,
08/30/2025,09/04/2025,2025,Aug,,9.96,2.7255,1.0323,1.9646,0.3204,0.00088,2.4778,1.2820,1.7529,,,0.5779,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,09/04/2025 13:05:39,2025,2025-AUG,class_2_Price,19.18,lmprs,
07/26/2025,07/30/2025,2025,Jul,,9.67,2.8435,1.0286,1.8730,0.3092,0.00088,2.5753,1.2783,1.7634,,,0.5670,Announcement of Class and Component Prices (PDF),DYMCLASSPRICES,2991,Dairy MMR,DY-WA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,07/30/2025 13:05:25,2025,2025-JUL,class_2_Price,19.31,lmprs,
