report_month,report_year,narrative,Pool_Order_Name,Pool_order_No,total,report_title,slug_name,slug_id,office_name,office_code,office_city,office_state,market_location_name,market_location_city,market_location_state,market_type,market_type_category,published_date,year,period,value,data_item,category,unit
Dec,2000,,All Markets Combined,,3.69,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.77,component,lmprs,
Dec,2000,,Appalachian,5.0,3.67,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.79,component,lmprs,
Dec,2000,,Arizona,131.0,3.62,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.72,component,lmprs,
Dec,2000,,Central,32.0,3.69,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.78,component,lmprs,
Dec,2000,,Florida,6.0,3.60,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.60,component,lmprs,
Dec,2000,,Mideast,33.0,3.72,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.85,component,lmprs,
Dec,2000,,Northeast,1.0,3.71,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.78,component,lmprs,
Dec,2000,,Pacific Northwest,124.0,3.65,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.71,component,lmprs,
Dec,2000,,Southeast,7.0,3.64,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.69,component,lmprs,
Dec,2000,,Southwest,126.0,3.60,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.71,component,lmprs,
Dec,2000,,Upper Midwest,30.0,3.73,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.81,component,lmprs,
Dec,2000,,Western,135.0,3.60,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:48:00,2000,2000-JAN,3.72,component,lmprs,
Dec,2001,,Western,135.0,3.61,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:46:00,2001,2001-JAN,3.69,component,lmprs,
Dec,2001,,Upper Midwest,30.0,3.72,Producer Milk Components,AMS_3462,3462,Dairy FMMOS,DY-NA,Washington,DC,"Washington, DC",Washington,DC,FMMOS,FMMOS - non-mars,04/09/2021 07:46:00,2001,2001-JAN,3.81,component,lmprs,
