year,period,timeperiod_id,timeperiod_name,aggregation,data_item,value,units,category,unit
1998,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,5.31,Dollars per hundredweight,,Dollars per hundredweight
1998,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9174.0,"1,000 head",,"1,000 head"
1998,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4268.0,Pounds,,Pounds
1998,JAN-MAR,13,Quarter 1,Not applicable,Milk production,39155.0,Million pounds,,Million pounds
1998,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1070.0,Dollars per head,,Dollars per head
1998,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,5.03,Dollars per hundredweight,,Dollars per hundredweight
1998,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9165.0,"1,000 head",,"1,000 head"
1998,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4447.0,Pounds,,Pounds
1998,APR-JUN,14,Quarter 2,Not applicable,Milk production,40753.0,Million pounds,,Million pounds
1998,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1110.0,Dollars per head,,Dollars per head
1998,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,4.38,Dollars per hundredweight,,Dollars per hundredweight
1998,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9142.0,"1,000 head",,"1,000 head"
1998,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4210.0,Pounds,,Pounds
1998,JUL-SEP,15,Quarter 3,Not applicable,Milk production,38486.0,Million pounds,,Million pounds
1998,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1120.0,Dollars per head,,Dollars per head
1998,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.2,Dollars per hundredweight,,Dollars per hundredweight
1998,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9121.0,"1,000 head",,"1,000 head"
1998,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4261.0,Pounds,,Pounds
1998,OCT-DEC,16,Quarter 4,Not applicable,Milk production,38868.0,Million pounds,,Million pounds
1998,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1180.0,Dollars per head,,Dollars per head
1998,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.73,Dollars per hundredweight,,Dollars per hundredweight
1998,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9150.0,"1,000 head",,"1,000 head"
1998,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,17185.0,Pounds,,Pounds
1998,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,157262.0,Million pounds,,Million pounds
1998,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1120.0,Dollars per head,,Dollars per head
1999,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.22,Dollars per hundredweight,,Dollars per hundredweight
