"Year","Category","Data_item","Value","Units"
1980,"January 1 inventory","Milk cows and heifers that have calved",10758.2,"Thousand head"
1980,"January 1 inventory","Replacement heifers, 500+ pounds",4158.5,"Thousand head"
1980,"January 1 inventory","Replacements per 100 cows",38.7,"Head"
1980,"Production indicators","Milk production",128406,"Million pounds"
1980,"Production indicators","Milk per cow",11891,"Pounds"
1980,"Production indicators","Average number of milk cows in the United States",10799,"Thousand"
1980,"Milk and feed price indicators","Average price paid for milk",13,"Dollar per hundredweight"
1980,"Milk and feed price indicators","Milk-feed ratio",2.72,"Number"
1980,"Milk and feed price indicators","Dairy feed value",4.84,"Dollar per hundredweight"
1980,"Dairy cow indicators","Dairy cow prices",1195,"Dollars per head"
1980,"Dairy cow indicators","Milk volume required to buy a cow",9192,"Pounds"
1980,"Other indicators","Alfalfa hay price received by farmers",72,"Dollars per ton"
1980,"Other indicators","Slaughter cow price",45.73,"Dollar per hundredweight"
1981,"January 1 inventory","Milk cows and heifers that have calved",10849,"Thousand head"
1981,"January 1 inventory","Replacement heifers, 500+ pounds",4341.6,"Thousand head"
1981,"January 1 inventory","Replacements per 100 cows",40,"Head"
1981,"Production indicators","Milk production",132770,"Million pounds"
1981,"Production indicators","Milk per cow",12183,"Pounds"
1981,"Production indicators","Average number of milk cows in the United States",10898,"Thousand"
1981,"Milk and feed price indicators","Average price paid for milk",13.8,"Dollar per hundredweight"
1981,"Milk and feed price indicators","Milk-feed ratio",2.76,"Number"
1981,"Milk and feed price indicators","Dairy feed value",5.04,"Dollar per hundredweight"
1981,"Dairy cow indicators","Dairy cow prices",1202.5,"Dollars per head"
1981,"Dairy cow indicators","Milk volume required to buy a cow",8714,"Pounds"
1981,"Other indicators","Alfalfa hay price received by farmers",70.9,"Dollars per ton"
1981,"Other indicators","Slaughter cow price",41.93,"Dollar per hundredweight"
1982,"January 1 inventory","Milk cows and heifers that have calved",10985.9,"Thousand head"
1982,"January 1 inventory","Replacement heifers, 500+ pounds",4546.7,"Thousand head"
1982,"January 1 inventory","Replacements per 100 cows",41.4,"Head"
1982,"Production indicators","Milk production",135505,"Million pounds"
1982,"Production indicators","Milk per cow",12306,"Pounds"
1982,"Production indicators","Average number of milk cows in the United States",11011,"Thousand"
1982,"Milk and feed price indicators","Average price paid for milk",13.6,"Dollar per hundredweight"
1982,"Milk and feed price indicators","Milk-feed ratio",3.09,"Number"
1982,"Milk and feed price indicators","Dairy feed value",4.42,"Dollar per hundredweight"
1982,"Dairy cow indicators","Dairy cow prices",1112.5,"Dollars per head"
1982,"Dairy cow indicators","Milk volume required to buy a cow",8180,"Pounds"
1982,"Other indicators","Alfalfa hay price received by farmers",72.73,"Dollars per ton"
1982,"Other indicators","Slaughter cow price",39.96,"Dollar per hundredweight"
1983,"January 1 inventory","Milk cows and heifers that have calved",11046.8,"Thousand head"
1983,"January 1 inventory","Replacement heifers, 500+ pounds",4544.8,"Thousand head"
1983,"January 1 inventory","Replacements per 100 cows",41.1,"Head"
1983,"Production indicators","Milk production",139588,"Million pounds"
1983,"Production indicators","Milk per cow",12622,"Pounds"
1983,"Production indicators","Average number of milk cows in the United States",11059,"Thousand"
1983,"Milk and feed price indicators","Average price paid for milk",13.6,"Dollar per hundredweight"
1983,"Milk and feed price indicators","Milk-feed ratio",2.61,"Number"
1983,"Milk and feed price indicators","Dairy feed value",5.24,"Dollar per hundredweight"
1983,"Dairy cow indicators","Dairy cow prices",1032.5,"Dollars per head"
1983,"Dairy cow indicators","Milk volume required to buy a cow",7592,"Pounds"
1983,"Other indicators","Alfalfa hay price received by farmers",78.7,"Dollars per ton"
1983,"Other indicators","Slaughter cow price",39.35,"Dollar per hundredweight"
1984,"January 1 inventory","Milk cows and heifers that have calved",11058.7,"Thousand head"
1984,"January 1 inventory","Replacement heifers, 500+ pounds",4532.7,"Thousand head"
1984,"January 1 inventory","Replacements per 100 cows",41,"Head"
1984,"Production indicators","Milk production",135351,"Million pounds"
1984,"Production indicators","Milk per cow",12541,"Pounds"
1984,"Production indicators","Average number of milk cows in the United States",10793,"Thousand"
1984,"Milk and feed price indicators","Average price paid for milk",13.5,"Dollar per hundredweight"
1984,"Milk and feed price indicators","Milk-feed ratio",2.54,"Number"
1984,"Milk and feed price indicators","Dairy feed value",5.34,"Dollar per hundredweight"
1984,"Dairy cow indicators","Dairy cow prices",895,"Dollars per head"
1984,"Dairy cow indicators","Milk volume required to buy a cow",6630,"Pounds"
1984,"Other indicators","Alfalfa hay price received by farmers",79.48,"Dollars per ton"
1984,"Other indicators","Slaughter cow price",39.81,"Dollar per hundredweight"
1985,"January 1 inventory","Milk cows and heifers that have calved",10776.9,"Thousand head"
1985,"January 1 inventory","Replacement heifers, 500+ pounds",4770,"Thousand head"
1985,"January 1 inventory","Replacements per 100 cows",44.3,"Head"
1985,"Production indicators","Milk production",143012,"Million pounds"
1985,"Production indicators","Milk per cow",13024,"Pounds"
1985,"Production indicators","Average number of milk cows in the United States",10981,"Thousand"
1985,"Milk and feed price indicators","Average price paid for milk",12.7,"Dollar per hundredweight"
1985,"Milk and feed price indicators","Milk-feed ratio",2.84,"Number"
1985,"Milk and feed price indicators","Dairy feed value",4.5,"Dollar per hundredweight"
1985,"Dairy cow indicators","Dairy cow prices",861.25,"Dollars per head"
1985,"Dairy cow indicators","Milk volume required to buy a cow",6781,"Pounds"
1985,"Other indicators","Alfalfa hay price received by farmers",73.67,"Dollars per ton"
1985,"Other indicators","Slaughter cow price",38.31,"Dollar per hundredweight"
1986,"January 1 inventory","Milk cows and heifers that have calved",11115.5,"Thousand head"
1986,"January 1 inventory","Replacement heifers, 500+ pounds",4708.7,"Thousand head"
1986,"January 1 inventory","Replacements per 100 cows",42.4,"Head"
1986,"Production indicators","Milk production",143124,"Million pounds"
1986,"Production indicators","Milk per cow",13285,"Pounds"
1986,"Production indicators","Average number of milk cows in the United States",10773,"Thousand"
1986,"Milk and feed price indicators","Average price paid for milk",12.5,"Dollar per hundredweight"
1986,"Milk and feed price indicators","Milk-feed ratio",3.39,"Number"
1986,"Milk and feed price indicators","Dairy feed value",3.77,"Dollar per hundredweight"
1986,"Dairy cow indicators","Dairy cow prices",821.25,"Dollars per head"
1986,"Dairy cow indicators","Milk volume required to buy a cow",6570,"Pounds"
1986,"Other indicators","Alfalfa hay price received by farmers",64.64,"Dollars per ton"
1986,"Other indicators","Slaughter cow price",37.18,"Dollar per hundredweight"
1987,"January 1 inventory","Milk cows and heifers that have calved",10466.4,"Thousand head"
1987,"January 1 inventory","Replacement heifers, 500+ pounds",4304.9,"Thousand head"
1987,"January 1 inventory","Replacements per 100 cows",41.1,"Head"
1987,"Production indicators","Milk production",142709,"Million pounds"
1987,"Production indicators","Milk per cow",13819,"Pounds"
1987,"Production indicators","Average number of milk cows in the United States",10327,"Thousand"
1987,"Milk and feed price indicators","Average price paid for milk",12.5,"Dollar per hundredweight"
1987,"Milk and feed price indicators","Milk-feed ratio",3.64,"Number"
1987,"Milk and feed price indicators","Dairy feed value",3.45,"Dollar per hundredweight"
1987,"Dairy cow indicators","Dairy cow prices",917.5,"Dollars per head"
1987,"Dairy cow indicators","Milk volume required to buy a cow",7340,"Pounds"
1987,"Other indicators","Alfalfa hay price received by farmers",65.97,"Dollars per ton"
1987,"Other indicators","Slaughter cow price",44.8,"Dollar per hundredweight"
1988,"January 1 inventory","Milk cows and heifers that have calved",10311.2,"Thousand head"
1988,"January 1 inventory","Replacement heifers, 500+ pounds",4122.3,"Thousand head"
1988,"January 1 inventory","Replacements per 100 cows",40,"Head"
1988,"Production indicators","Milk production",145034,"Million pounds"
1988,"Production indicators","Milk per cow",14185,"Pounds"
1988,"Production indicators","Average number of milk cows in the United States",10224,"Thousand"
1988,"Milk and feed price indicators","Average price paid for milk",12.2,"Dollar per hundredweight"
1988,"Milk and feed price indicators","Milk-feed ratio",2.63,"Number"
