Year,Period,Timeperiod_id,Timeperiod_name,Aggregation,Data_item,Value,Units
1998,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,5.31,Dollars per hundredweight
1998,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9174,"1,000 head"
1998,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4268,Pounds
1998,JAN-MAR,13,Quarter 1,Not applicable,Milk production,39155,Million pounds
1998,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1070,Dollars per head
1998,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,5.03,Dollars per hundredweight
1998,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9165,"1,000 head"
1998,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4447,Pounds
1998,APR-JUN,14,Quarter 2,Not applicable,Milk production,40753,Million pounds
1998,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1110,Dollars per head
1998,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,4.38,Dollars per hundredweight
1998,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9142,"1,000 head"
1998,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4210,Pounds
1998,JUL-SEP,15,Quarter 3,Not applicable,Milk production,38486,Million pounds
1998,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1120,Dollars per head
1998,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,4.2,Dollars per hundredweight
1998,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9121,"1,000 head"
1998,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4261,Pounds
1998,OCT-DEC,16,Quarter 4,Not applicable,Milk production,38868,Million pounds
1998,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1180,Dollars per head
1998,ANNUAL,17,Annual aggregation,Quarterly average,16-percent protein feed value,4.73,Dollars per hundredweight
1998,ANNUAL,17,Annual aggregation,Quarterly average,Milk cow,9150,"1,000 head"
1998,ANNUAL,17,Annual aggregation,Quarterly sum,Milk per cow,17185,Pounds
1998,ANNUAL,17,Annual aggregation,Quarterly sum,Milk production,157262,Million pounds
1998,ANNUAL,17,Annual aggregation,Quarterly average,Replacement cow price,1120,Dollars per head
1999,JAN-MAR,13,Quarter 1,Not applicable,16-percent protein feed value,4.22,Dollars per hundredweight
1999,JAN-MAR,13,Quarter 1,Not applicable,Milk cow,9122,"1,000 head"
1999,JAN-MAR,13,Quarter 1,Not applicable,Milk per cow,4436,Pounds
1999,JAN-MAR,13,Quarter 1,Not applicable,Milk production,40461,Million pounds
1999,JAN-MAR,13,Quarter 1,Not applicable,Replacement cow price,1250,Dollars per head
1999,APR-JUN,14,Quarter 2,Not applicable,16-percent protein feed value,4.2,Dollars per hundredweight
1999,APR-JUN,14,Quarter 2,Not applicable,Milk cow,9151,"1,000 head"
1999,APR-JUN,14,Quarter 2,Not applicable,Milk per cow,4589,Pounds
1999,APR-JUN,14,Quarter 2,Not applicable,Milk production,41997,Million pounds
1999,APR-JUN,14,Quarter 2,Not applicable,Replacement cow price,1240,Dollars per head
1999,JUL-SEP,15,Quarter 3,Not applicable,16-percent protein feed value,3.87,Dollars per hundredweight
1999,JUL-SEP,15,Quarter 3,Not applicable,Milk cow,9168,"1,000 head"
1999,JUL-SEP,15,Quarter 3,Not applicable,Milk per cow,4334,Pounds
1999,JUL-SEP,15,Quarter 3,Not applicable,Milk production,39732,Million pounds
1999,JUL-SEP,15,Quarter 3,Not applicable,Replacement cow price,1280,Dollars per head
1999,OCT-DEC,16,Quarter 4,Not applicable,16-percent protein feed value,3.75,Dollars per hundredweight
1999,OCT-DEC,16,Quarter 4,Not applicable,Milk cow,9169,"1,000 head"
1999,OCT-DEC,16,Quarter 4,Not applicable,Milk per cow,4406,Pounds
1999,OCT-DEC,16,Quarter 4,Not applicable,Milk production,40399,Million pounds
1999,OCT-DEC,16,Quarter 4,Not applicable,Replacement cow price,1380,Dollars per head
